StatCode5,ShiptypeLevel5,Level4Code,ShipTypeLevel4,Level3Code,ShipTypeLevel3,Level2Code,ShipTypeLevel2,ShipTypeLevel1Code,ShiptypeLevel1,HullType,SubGroup,SubType
"A24G2BS","Refined Sugar Carrier","A24G","Refined Sugar Carrier","A24","Other Bulk Dry","A2","Bulk Carriers","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Dry Bulk Cargo","Refined Sugar Carrier"
"A24H2BZ","Powder Carrier","A24H","Powder Carrier","A24","Other Bulk Dry","A2","Bulk Carriers","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Dry Bulk Cargo","Powder Carrier"
"A31A2GA","General Cargo Ship (with Ro-Ro facility)","A31A","General Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo Ship (with Ro-Ro facility)"
"A31A2GE","General Cargo Ship, Self-discharging","A31A","General Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo, Self-discharging"
"A31A2GO","General Cargo Ship (Open Hatch)","A31A","General Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo Open Hatch Ship"
"A31A2GS","General Cargo/Tanker (Container/oil/bulk - COB ship)","A31A","General Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo/Tanker (COB ship)"
"A31A2GT","General Cargo/Tanker","A31A","General Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo/Tanker"
"A31A2GX","General Cargo Ship","A31A","General Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo"
"A31B2GP","Palletised Cargo Ship","A31B","Palletised Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Palletised Cargo Ship"
"A31C2GD","Deck Cargo Ship","A31C","Deck Cargo Ship","A31","General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Deck Cargo Ship"
"A32A2GF","General Cargo/Passenger Ship","A32A","Passenger/General Cargo Ship","A32","Passenger/General Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","General Cargo/Passenger Ship"
"A33A2CC","Container Ship (Fully Cellular)","A33A","Container Ship","A33","Container","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Cellular Container","Container Ship (Fully Cellular)"
"A33A2CR","Container Ship (Fully Cellular/Ro-Ro Facility)","A33A","Container Ship","A33","Container","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Cellular Container","Container Ship (fully Cellular with Ro-Ro facility)"
"A33B2CP","Passenger/Container Ship","A33B","Passenger/Container Ship","A33","Container","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Cellular Container","Passenger/Container Ship"
"A34A2GR","Refrigerated Cargo Ship","A34A","Refrigerated Cargo Ship","A34","Refrigerated Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Refrigerated Cargo Ship"
"A35A2RR","Ro-Ro Cargo Ship","A35A","Ro-Ro Cargo Ship","A35","Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Ro-Ro","Ro-Ro Cargo Ship"
"A35A2RT","Rail Vehicles Carrier","A35A","Ro-Ro Cargo Ship","A35","Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Ro-Ro","Rail-Vehicles Carrier"
"A35B2RV","Vehicles Carrier","A35B","Vehicles Carrier","A35","Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Ro-Ro","Vehicles Carrier"
"A35C2RC","Container/Ro-Ro Cargo Ship","A35C","Container/Ro-Ro Cargo Ship","A35","Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Ro-Ro","Container/Ro-Ro Cargo Ship"
"A35D2RL","Landing Craft","A35D","Landing Craft","A35","Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Ro-Ro","Landing Craft"
"A36A2PR","Passenger/Ro-Ro Ship (Vehicles)","A36A","Passenger/Ro-Ro Cargo Ship","A36","Passenger/Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Passenger","Passenger/Ro-Ro Ship (Vehicles)"
"A36A2PT","Passenger/Ro-Ro Ship (Vehicles/Rail)","A36A","Passenger/Ro-Ro Cargo Ship","A36","Passenger/Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Passenger","Passenger/Ro-Ro Ship (Vehicles/Train)"
"A36B2PL","Passenger/Landing Craft","A36B","Passenger/Landing Craft","A36","Passenger/Ro-Ro Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Passenger","Passenger/Landing Craft"
"A37A2PC","Passenger/Cruise","A37A","Passenger (Cruise) Ship","A37","Passenger","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Passenger","Cruise Ship"
"A37B2PS","Passenger Ship","A37B","Passenger Ship","A37","Passenger","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","Passenger","Passenger Ship"
"A38A2GL","Livestock Carrier","A38A","Livestock Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Livestock Carrier"
"A38B2GB","Barge Carrier","A38B","Barge Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Barge Carrier"
"A38C2GH","Heavy Load Carrier","A38C","Heavy Load Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Heavy Load Carrier"
"A38C3GH","Heavy Load Carrier, semi submersible","A38C","Heavy Load Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Semi-Sub","General Cargo","Heavy Load Carrier"
"A38C3GY","Yacht Carrier, semi submersible","A38C","Heavy Load Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Semi-Sub","General Cargo","Yacht Carrier, Semi-submersible"
"A38D2GN","Nuclear Fuel Carrier","A38D","Nuclear Fuel Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Nuclear Fuel Carrier"
"A38D2GZ","Nuclear Fuel Carrier (with Ro-Ro facility)","A38D","Nuclear Fuel Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Nuclear Fuel Carrier (with Ro-Ro facility)"
"A38H2GU","Pulp Carrier","A38H","Pulp Carrier","A38","Other Dry Cargo","A3","Dry Cargo/Passenger","A","Cargo Carrying","Ship Shape Including Multi-Hulls","General Cargo","Pulp Carrier"
"B11B2FV","Fishing Vessel","B11B","Fishing Vessel","B11","Fish Catching","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fishing Vessel"
"B12A2FF","Fish Factory Ship","B12A","Fish Factory Ship","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fish Factory Ship"
"B12B2FC","Fish Carrier","B12B","Fish Carrier","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fish Carrier"
"B12D2FM","Fish Farm Support Vessel","B12D","Fishing Support Vessel","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fish Farm Vessel"
"B12D2FP","Fishery Patrol Vessel","B12D","Fishing Support Vessel","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fishery Patrol Vessel"
"B12D2FR","Fishery Research Vessel","B12D","Fishing Support Vessel","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fishery Research Vessel"
"B12D2FU","Fishery Support Vessel","B12D","Fishing Support Vessel","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Fishing Support Vessel"
"B12E2FX","Seal Catcher","B12E","Seal Catcher","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Seal Catcher"
"B12F2FW","Whale Catcher","B12F","Whale Catcher","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Whale-Catcher"
"B12G2FK","Kelp Dredger","B12G","Kelp Dredger","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Kelp Dredger"
"B12H2FY","Pearl Shells Carrier","B12H","Pearl Shells Carrier","B12","Other Fishing","B1","Fishing","B","Work Vessel","Ship Shape Including Multi-Hulls","Fishing","Pearl Shells Carrier"
"B21A2OC","Crew/Supply Vessel","B21A","Platform Supply Ship","B21","Offshore Supply","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Crew/Supply Vessel"
"B21A2OP","Pipe Carrier","B21A","Platform Supply Ship","B21","Offshore Supply","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Pipe Carrier"
"B21A2OS","Platform Supply Ship","B21A","Platform Supply Ship","B21","Offshore Supply","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Offshore Supply Ship"
"B21B2OA","Anchor Handling Tug Supply","B21B","Offshore Tug/Supply Ship","B21","Offshore Supply","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Anchor Handling Tug Supply"
"B21B2OT","Offshore Tug/Supply Ship","B21B","Offshore Tug/Supply Ship","B21","Offshore Supply","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Offshore Tug/Supply Ship"
"B22A2OR","Offshore Support Vessel","B22A","Offshore Support Vessel","B22","Other Offshore","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Offshore Support Vessel"
"B22A2OV","Diving Support Vessel","B22A","Offshore Support Vessel","B22","Other Offshore","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Diving Support Vessel"
"B22A2ZA","Accommodation Ship","B22A","Offshore Support Vessel","B22","Other Offshore","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Platforms","Accommodation Platform or Ship"
"B22A2ZM","Offshore Construction Vessel, jack up","B22A","Offshore Support Vessel","B22","Other Offshore","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Platforms","Maintenance Platform, Semi-submersible or Jack-up"
"B22B2OD","Drilling Ship","B22B","Drilling Ship","B22","Other Offshore","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Drilling Ship"
"B22C2OQ","Pipe Layer Crane Vessel","B22C","Pipe Layer","B22","Other Offshore","B2","Offshore","B","Work Vessel","Ship Shape Including Multi-Hulls","Offshore","Pipe-Layer Crane Vessel"
